"id","title","institution","instructor","description","section","url","created_at","updated_at"
"7279","15.992 S-Lab: Laboratory for Sustainable Business","Massachusetts Institute of Technology","Prof. John Sterman
                                            Prof. Rebecca Henderson
                                            Prof. Richard Locke
                                             Sarah Slaughter","How can we translate real-world challenges into future business opportunities? How can individuals, organizations, and society learn and undergo change at the pace needed to stave off worsening problems? Today, organizations of all kinds—traditional manufacturing firms, those that extract resources, a huge variety of new start-ups, services, non-profits, and governmental organizations of all types, among many others—are tackling these very questions. For some, the massive challenges of moving towards sustainability offer real opportunities for new products and services, for reinventing old ones, or for solving problems in new ways. The course aims to provide participants with access and in-depth exposure to firms that are actively grappling with the sustainability-related issues through cases, readings and guest speakers.","Sloan School of Management","http://ocw.mit.edu/courses/sloan-school-of-management/15-992-s-lab-laboratory-for-sustainable-business-spring-2008","2013-12-22 17:02:24.061289","2013-12-22 17:02:24.061289"
"7280","18.405J / 6.841J Advanced Complexity Theory","Massachusetts Institute of Technology","Prof. Daniel Spielman","The topics for this course cover various aspects of complexity theory, such as  the basic time and space classes, the polynomial-time hierarchy and the randomized classes . This is a pure theory class, so no applications were involved.","Mathematics","http://ocw.mit.edu/courses/mathematics/18-405j-advanced-complexity-theory-fall-2001","2013-12-22 17:02:24.078290","2013-12-22 17:02:24.078290"
"7281","2.080J / 1.573J Structural Mechanics (13.10J)","Massachusetts Institute of Technology","Prof. Jerome Connor
                                            Prof. Nicholas Patrikalakis","Fundamental concepts of structural mechanics with applications to marine, civil, and mechanical structures. Residual stresses. Thermal effects. Analysis of beams, columns, tensioned beams, trusses, frames, cables, and shafts of general shape and material, including composites. Elastic buckling of columns. Exact and approximate methods, energy methods, principle of virtual work, introduction to computational structural mechanics. Examples from civil, mechanical, offshore, and ship structures.
This course was originally offered in Course 13 (Department of Ocean Engineering) as 13.10J. In 2005, ocean engineering subjects became part of Course 2 (Department of Mechanical Engineering), and this course was renumbered 2.080J.","Mechanical Engineering","http://ocw.mit.edu/courses/mechanical-engineering/2-080j-structural-mechanics-13-10j-fall-2002","2013-12-22 17:02:24.090290","2013-12-22 17:02:24.090290"
"7283","ESD.04J / 1.041J / ESD.01J Frameworks and Models in Engineering Systems / Engineering System Design","Massachusetts Institute of Technology","Prof. Joseph Sussman","This class provides an introduction to quantitative models and qualitative frameworks for studying complex engineering systems. Also taught is the art of abstracting a complex system into a model for purposes of analysis and design while dealing with complexity, emergent behavior, stochasticity, non-linearities and the requirements of many stakeholders with divergent objectives. The successful completion of the class requires a semester-long class project that deals with critical contemporary issues which require an integrative, interdisciplinary approach using the above models and frameworks.","Engineering Systems Division","http://ocw.mit.edu/courses/engineering-systems-division/esd-04j-frameworks-and-models-in-engineering-systems-engineering-system-design-spring-2007","2013-12-22 17:02:24.157294","2013-12-22 17:02:24.157294"
"7284","9.081 Human Memory and Learning","Massachusetts Institute of Technology","Prof. Anthony Wagner","Surveys the literature on the cognitive and neural organization of human memory and learning. Includes consideration of working memory and executive control, episodic and semantic memory, and implicit forms of memory. Emphasizes integration of cognitive theory with recent insights from functional neuroimaging (e.g., fMRI and PET).","Brain and Cognitive Sciences","http://ocw.mit.edu/courses/brain-and-cognitive-sciences/9-081-human-memory-and-learning-fall-2002","2013-12-22 17:02:24.172295","2013-12-22 17:02:24.172295"
"7286","11.366J / 1.817J Planning for Sustainable Development","Massachusetts Institute of Technology","Prof. David Laws
                                            Prof. Martin Rein","This course explores policy and planning for sustainable development. It critically examines concept of sustainability as a process of social, organizational, and political development drawing on cases from the U.S. and Europe. It also explores pathways to sustainability through debates on ecological modernization; sustainable technology development, international and intergenerational fairness, and democratic governance.","Urban Studies and Planning","http://ocw.mit.edu/courses/urban-studies-and-planning/11-366j-planning-for-sustainable-development-spring-2006","2013-12-22 17:02:24.200297","2013-12-22 17:02:24.200297"
"7287","12.800 Fluid Dynamics of the Atmosphere and Ocean","Massachusetts Institute of Technology","Prof. James Hansen, Jr","This class introduces fluid dynamics to first year graduate students. The aim is to help students acquire an understanding of some of the basic concepts of fluid dynamics that will be needed as a foundation for advanced courses in atmospheric science, physical oceanography, ocean engineering, etc. The emphasis will be on fluid fundamentals, but with an atmosphere/ocean twist.","Earth, Atmospheric, and Planetary Sciences","http://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-800-fluid-dynamics-of-the-atmosphere-and-ocean-fall-2004","2013-12-22 17:02:24.219298","2013-12-22 17:02:24.219298"
"7288","11.941 Disaster, Vulnerability and Resilience","Massachusetts Institute of Technology","Prof. Jennifer Leaning
                                            Prof. JoAnn Carmin","In recent years, the redistribution of risk has created conditions for natural and technological disasters to become more widespread, more difficult to manage, and more discriminatory in their effects. Policy and planning decision-makers frequently focus on the impact that human settlement patterns, land use decisions, and risky technologies can have on vulnerable populations. However, to ensure safety and promote equity, they also must be familiar with the social and political dynamics that are present at each stage of the disaster management cycle. Therefore, this course will provide students with:
An understanding of the breadth of factors that give rise to disaster vulnerability; and
A foundation for assessing and managing the social and political processes associated with disaster policy and planning.","Urban Studies and Planning","http://ocw.mit.edu/courses/urban-studies-and-planning/11-941-disaster-vulnerability-and-resilience-spring-2005","2013-12-22 17:02:24.238299","2013-12-22 17:02:24.238299"
"7289","PE.910 Physical Intelligence","Massachusetts Institute of Technology","Noah Riskin","For all of the bodies attached to the many great minds that walk the Institute's halls, in the work that goes on at MIT the body is present as an object of study, but is all but unrecognized as an important dimension of our intelligence and experience. Yet the body is the basis of our experience in the world; it is the very foundation on which cognitive intelligence is built. Using the MIT gymnastics gym as our laboratory, the Physical Intelligence activity will take an innovative, hands-on approach to explore the kinesthetic intelligence of the body as applicable to a wide range of disciplines. Via exercises, activities, readings and discussions designed to excavate our physical experience, we will not only develop balance, agility, flexibility and strength, but a deep appreciation for the inherent unity of mind and body that suggests physical intelligence as a powerful complement to cognitive intelligence.","Athletics, Physical Education and Recreation","http://ocw.mit.edu/courses/athletics-physical-education-and-recreation/pe-910-physical-intelligence-january-iap-2002","2013-12-22 17:02:24.256300","2013-12-22 17:02:24.256300"
"7290","12.307 Weather and Climate Laboratory","Massachusetts Institute of Technology","Prof. John Marshall
                                            Dr. Lodovica Illari","Course 12.307 is an undergraduate course intended to illustrate, by means of 'hands on' projects, the basic dynamical and physical principles that govern the general circulation of the atmosphere and ocean and the day to day sequence of weather events.  The course parallels the content of the new undergraduate textbook Atmosphere, Ocean and Climate Dynamics by John Marshall and R. Alan Plumb.","Earth, Atmospheric, and Planetary Sciences","http://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-307-weather-and-climate-laboratory-spring-2009","2013-12-22 17:02:24.273301","2013-12-22 17:02:24.273301"
"7291","2.20 Marine Hydrodynamics (13.021)","Massachusetts Institute of Technology","Prof. Dick K. P. Yue","In this course the fundamentals of fluid mechanics are developed in the context of naval architecture and ocean science and engineering. The various topics covered are: Transport theorem and conservation principles, Navier-Stokes' equation, dimensional analysis, ideal and potential flows, vorticity and Kelvin's theorem, hydrodynamic forces in potential flow, D'Alembert's paradox, added-mass, slender-body theory, viscous-fluid flow, laminar and turbulent boundary layers, model testing, scaling laws, application of potential theory to surface waves, energy transport, wave/body forces, linearized theory of lifting surfaces, and experimental project in the towing tank or propeller tunnel.This subject was originally offered in Course 13 (Department of Ocean Engineering) as 13.021. In 2005, ocean engineering became part of Course 2 (Department of Mechanical Engineering), and this subject was renumbered 2.20.","Mechanical Engineering","http://ocw.mit.edu/courses/mechanical-engineering/2-20-marine-hydrodynamics-13-021-spring-2005","2013-12-22 17:02:24.288302","2013-12-22 17:02:24.288302"
"7292","DD203_1 The politics of devolution","The Open University","","This unit, which contains material from the current Open University second level Politics course DD203 Power, Equality and Dissent, is pitched at the intermediate level.  It should take you about 8 hours to study if you attempt the recommended exercises and make summary notes of its key points. Doing so will allow you to practise  the crucial academic skill of summary and précis – extracting the gist of an argument – which will be of particular help if you go on to study in related areas: perhaps the related politics units on the openlearn website or in the Open University courses from which they come.","Social Sciences","http://openlearn.open.ac.uk/course/view.php?name=DD203_1","2013-12-22 17:02:24.300302","2013-12-22 17:02:24.300302"
"7293","24.06J / STS.006J Bioethics","Massachusetts Institute of Technology","Prof. Caspar Hare
                                            Prof. David Jones","This course does not seek to provide answers to ethical questions. Instead, the course hopes to teach students two things. First, how do you recognize ethical or moral problems in science and medicine? When something does not feel right (whether cloning, or failing to clone) — what exactly is the nature of the discomfort? What kind of tensions and conflicts exist within biomedicine? Second, how can you think productively about ethical and moral problems? What processes create them? Why do people disagree about them? How can an understanding of philosophy or history help resolve them? By the end of the course students will hopefully have sophisticated and nuanced ideas about problems in bioethics, even if they do not have comfortable answers.","Linguistics and Philosophy","http://ocw.mit.edu/courses/linguistics-and-philosophy/24-06j-bioethics-spring-2009","2013-12-22 17:02:24.314303","2013-12-22 17:02:24.314303"
"7294","21A.218J / SP.454J / WGS.454J Identity and Difference","Massachusetts Institute of Technology","Prof. Heather Paxson","How can the individual be at once cause and consequence of society, a unique agent of social action and also a social product? This course explores how identities, whether of individuals or groups, based on single behaviors or institutional practices, are produced, maintained, and transformed. Students will be introduced to various theoretical perspectives that are used to make sense of identity formation, including essentialism, constructivism, stigma, deviance, discourse, and performance. We will explore the utility of these terms in discussing issues of gender, sexuality, race, ethnicity, religion, etc.","Anthropology","http://ocw.mit.edu/courses/anthropology/21a-218j-identity-and-difference-spring-2007","2013-12-22 17:02:24.330304","2013-12-22 17:02:24.330304"
"7295","12.810 Dynamics of the Atmosphere","Massachusetts Institute of Technology","Prof. Richard Lindzen","This course begins with a study of the role of dynamics in the general physics of the atmosphere, the consideration of the differences between modeling and approximation, and the observed large-scale phenomenology of the atmosphere. Only then are the basic equations derived in rigorous manner. The equations are then applied to important problems and methodologies in meteorology and climate, with discussions of the history of the topics where appropriate. Problems include the Hadley circulation and its role in the general circulation, atmospheric waves including gravity and Rossby waves and their interaction with the mean flow, with specific applications to the stratospheric quasi-biennial oscillation, tides, the super-rotation of Venus' atmosphere, the generation of atmospheric turbulence, and stationary waves among other problems. The quasi-geostrophic approximation is derived, and the resulting equations are used to examine the hydrodynamic stability of the circulation with applications ranging from convective adjustment to climate.","Earth, Atmospheric, and Planetary Sciences","http://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-810-dynamics-of-the-atmosphere-spring-2008","2013-12-22 17:02:24.344305","2013-12-22 17:02:24.344305"
"7296","14.382 Econometrics I","Massachusetts Institute of Technology","Prof. Jerry Hausman
                                            Prof. Victor Chernozhukov","This course focuses on the specification and estimation of the linear regression model. The course departs from the standard Gauss-Markov assumptions to include heteroskedasticity, serial correlation, and errors in variables. Advanced topics include generalized least squares, instrumental variables, nonlinear regression, and limited dependent variable models. Economic applications are discussed throughout the course.","Economics","http://ocw.mit.edu/courses/economics/14-382-econometrics-i-spring-2005","2013-12-22 17:02:24.363306","2013-12-22 17:02:24.363306"
"7297","17.950 Understanding Modern Military Operations","Massachusetts Institute of Technology","Prof. Owen Cote","A proper understanding of modern military operations requires a prior understanding of both the material side of war, including especially weapon, sensor, communication, and information processing technologies, and the human or organizational side of war, including especially military doctrine, which is an institutionalized vision within military organizations that predicts how the material tools of war will be wielded on future battlefields. Military doctrine makes assumptions about the nature of future battlefields, and determines what the division of labor on those battlefields will be between different military tools. Doctrine also therefore determines the organizational hierarchy among the various branches of the military which wield those tools. Thus, one way to think of the relationship between military technology and doctrine is to think of doctrine as a filter that a military organization will use to assess the effect that future technologies or new battlefields are likely to have on its existing organizational hierarchy.","Political Science","http://ocw.mit.edu/courses/political-science/17-950-understanding-modern-military-operations-spring-2005","2013-12-22 17:02:24.376307","2013-12-22 17:02:24.376307"
"7298","11.942 Use of Joint Fact Finding in Science Intensive Policy Disputes, Part II","Massachusetts Institute of Technology","Dr. Herman Karl
                                            Prof. Lawrence Susskind","This course makes up the second half of a year-long seminar on Joint Fact Finding in Science-Intensive Disputes. In 11.941, the first half of the seminar, students analyzed and discussed cases that involved or that should have involved Joint Fact Finding of various kinds. In this portion, students concentrate on gathering information to assist in resolving the Cape Wind project, the dispute concerning the placement of wind farms in waters adjacent to Nantucket. Students will lay the groundwork for a collaborative project that includes Federal and State agencies, academic institutions and non-profits.","Urban Studies and Planning","http://ocw.mit.edu/courses/urban-studies-and-planning/11-942-use-of-joint-fact-finding-in-science-intensive-policy-disputes-part-ii-spring-2004","2013-12-22 17:02:24.392308","2013-12-22 17:02:24.392308"
"7299","18.443 Statistics for Applications","Massachusetts Institute of Technology","Prof. Dmitry Panchenko","This course offers a broad treatment of statistics, concentrating on specific statistical techniques used in science and industry. Topics include: hypothesis testing and estimation, confidence intervals, chi-square tests, nonparametric statistics, analysis of variance, regression, and correlation.
OCW offers an earlier version of this course, from Fall 2003. This newer version focuses less on estimation theory and more on multiple linear regression models. In addition, a number of Matlab examples are included here.","Mathematics","http://ocw.mit.edu/courses/mathematics/18-443-statistics-for-applications-fall-2006","2013-12-22 17:02:24.418309","2013-12-22 17:02:24.418309"
"7300","16.621 Experimental Projects I","Massachusetts Institute of Technology","Prof. Earll Murman
                                            Prof. Edward Greitzer
                                             Jennifer L. Craig
                                            Prof. John Deyst","The Experimental Project Lab in the Department of Aeronautics and Astronautics is a two-semester course: 16.621 and 16.622. This site offers material on 16.621. In the course, two-person teams initiate a project of their own conception and design in 16.621 and then complete it in 16.622. For many students, this is a first encounter with research standards and techniques. It is a complicated course that requires a lot of interaction and support and also access to facilities and materials, but it is rewarding for students to explore an hypothesis under the guidance of a faculty advisor.","Aeronautics and Astronautics","http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-621-experimental-projects-i-spring-2003","2013-12-22 17:02:24.464312","2013-12-22 17:02:24.464312"
"7301","21A.235 American Dream: Exploring Class in the U.S.","Massachusetts Institute of Technology","Prof. Christine Walley","Americans have historically preferred to think of the United States in classless terms, as a land of economic opportunity equally open to all. Yet, social class remains a central fault line in the U.S. Subject explores the experiences and understandings of class among Americans positioned at different points along the U.S. social spectrum. Considers a variety of classic frameworks for analyzing social class and uses memoirs, novels and ethnographies to gain a sense of how class is experienced in daily life and how it intersects with other forms of social difference such as race and gender.","Anthropology","http://ocw.mit.edu/courses/anthropology/21a-235-american-dream-exploring-class-in-the-u-s-spring-2007","2013-12-22 17:02:24.476312","2013-12-22 17:02:24.476312"
"7302","1.223J / ESD.203J Transportation Policy, Strategy, and Management","Massachusetts Institute of Technology","Prof. Joseph Coughlin","This class surveys the current concepts, theories, and issues in strategic management of transportation organizations. It provides transportation logistics and engineering systems students with an overview of the operating context, leadership challenges, strategies, and management tools that are used in today's public and private transportation organizations. The following concepts, tools, and issues are presented in both public and private sector cases: alternative models of decision-making, strategic planning (e.g., use of SWOT analysis and scenario development), stakeholder valuation and analysis, government-based regulation and cooperation within the transportation enterprise, disaster communications, systems safety, change management, and the impact of globalization.","Civil and Environmental Engineering","http://ocw.mit.edu/courses/civil-and-environmental-engineering/1-223j-transportation-policy-strategy-and-management-fall-2004","2013-12-22 17:02:24.491313","2013-12-22 17:02:24.491313"
"7303","1.224J / ESD.204J Carrier Systems","Massachusetts Institute of Technology","Prof. Cynthia Barnhart
                                            Prof. Nigel Wilson","Carrier systems involve the design, operation and management of transportation networks, assets, personnel, freight and passengers. In this course, we will present models and tools for analyzing, optimizing, planning, managing and controlling carrier systems.","Civil and Environmental Engineering","http://ocw.mit.edu/courses/civil-and-environmental-engineering/1-224j-carrier-systems-fall-2003","2013-12-22 17:02:24.506314","2013-12-22 17:02:24.506314"
"7304","STS.436 Cold War Science","Massachusetts Institute of Technology","Prof. David Kaiser","This seminar examines the history and legacy of the Cold War on American science. It explores scientist's new political roles after World War II, ranging from elite policy makers in the nuclear age to victims of domestic anti Communism. It also examines the changing institutions in which the physical sciences and social sciences were conducted during the postwar decades, investigating possible epistemic effects on forms of knowledge. The subject closes by considering the place of science in the post-Cold War era.","Science, Technology, and Society","http://ocw.mit.edu/courses/science-technology-and-society/sts-436-cold-war-science-fall-2008","2013-12-22 17:02:24.521315","2013-12-22 17:02:24.521315"
"7305","17.158 Political Economy of Western Europe","Massachusetts Institute of Technology","Prof. Suzanne Berger","Examines role of European states in postwar period of rapid economic growth and current crisis. Includes analysis of different state traditions (""etatist,"" liberal, authoritarian); government's role in decline of some economies and rise of others; why and where Keynesianism, indicative planning, and state enterprises were introduced; alternative conceptions of contemporary economic problems (new international division of labor? too few producers? oil shock?); and of policies to deal with them (industrial policy? monetarism? protectionism?).","Political Science","http://ocw.mit.edu/courses/political-science/17-158-political-economy-of-western-europe-spring-2003","2013-12-22 17:02:24.537316","2013-12-22 17:02:24.537316"
"7306","21L.702 Studies in Fiction: Rethinking the American Masterpiece","Massachusetts Institute of Technology","Prof. Wyn Kelley","What has been said of Moby-Dick—that it's the greatest novel no one ever reads—could just as well be said of any number of American ""classics"" like The Scarlet Letter, Uncle Tom's Cabin, or The Adventures of Huckleberry Finn. This course reconsiders a small number of nineteenth-century American novels by presenting each in a surprising context.","Literature","http://ocw.mit.edu/courses/literature/21l-702-studies-in-fiction-rethinking-the-american-masterpiece-fall-2007","2013-12-22 17:02:24.558317","2013-12-22 17:02:24.558317"
"7307","6.830 Database Systems","Massachusetts Institute of Technology","Prof. Samuel Madden","This course relies on primary readings from the database community to introduce graduate students to the foundations of database systems, focusing on basics such as the relational algebra and data model, schema normalization, query optimization, and transactions. It is designed for students who have taken MIT course 6.033 (or equivalent); no prior database experience is assumed though students who have taken an undergraduate course in databases are encouraged to attend. Topics related to the engineering and design of database systems, including: data models; database and schema design; schema normalization and integrity constraints; query processing; query optimization and cost estimation; transactions; recovery; concurrency control; isolation and consistency; distributed, parallel, and heterogeneous databases; adaptive databases; trigger systems; pub-sub systems; semi structured data and XML querying.","Electrical Engineering and Computer Science","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-830-database-systems-fall-2005","2013-12-22 17:02:24.579318","2013-12-22 17:02:24.579318"
"7308","9.322J / 7.67J Genetic Neurobiology","Massachusetts Institute of Technology","Prof. Troy Littleton
                                            Prof. William Quinn","This course deals with the specific functions of neurons, the interactions of neurons in development, and the organization of neuronal ensembles to produce behavior. Topics covered include the analysis of mutations, and molecular analysis of the genes required for nervous system function. In particular, this course focuses on research work done with nematodes, fruit flies, mice, and humans.","Brain and Cognitive Sciences","http://ocw.mit.edu/courses/brain-and-cognitive-sciences/9-322j-genetic-neurobiology-fall-2005","2013-12-22 17:02:24.593319","2013-12-22 17:02:24.593319"
"7309","17.01J / 24.04J Justice","Massachusetts Institute of Technology","Prof. Joshua Cohen","This course explores three fundamental questions about the ideal of a just society and the place of values of liberty and equality in such a society. Answers to the questions provided by three contemporary theories of justice: Utilitarianism, Libertarianism, and Egalitarian Liberalism will be examined. To assess the strengths and weaknesses of these theories, a discussion of their implications for some topics of ongoing moral-political controversy will also be covered.","Political Science","http://ocw.mit.edu/courses/political-science/17-01j-justice-spring-2006","2013-12-22 17:02:24.605320","2013-12-22 17:02:24.605320"
"7310","10.490 Integrated Chemical Engineering I","Massachusetts Institute of Technology","Dr. Barry S. Johnston","This course uses reaction kinetics, batch reactor analysis, batch distillation, batch operations scheduling, safety analysis, and the ABACUSS process simulator to introduce process design and analysis techniques.
Acknowledgements
The materials for the Fall 2006 offering of this course were drawn extensively from the materials that Professor Paul Barton used while teaching this course in past years. We are indebted to him for his long service to 10.490.","Chemical Engineering","http://ocw.mit.edu/courses/chemical-engineering/10-490-integrated-chemical-engineering-i-fall-2006","2013-12-22 17:02:24.619321","2013-12-22 17:02:24.619321"
"7311","15.099 Readings in Optimization","Massachusetts Institute of Technology","Prof. Robert Freund","In keeping with the tradition of the last twenty-some years, the Readings in Optimization seminar will focus on an advanced topic of interest to a portion of the MIT optimization community: randomized methods for deterministic optimization. In contrast to conventional optimization algorithms whose iterates are computed and analyzed deterministically, randomized methods rely on stochastic processes and random number/vector generation as part of the algorithm and/or its analysis. In the seminar, we will study some very recent papers on this topic, many by MIT faculty, as well as some older papers from the existing literature that are only now receiving attention.","Sloan School of Management","http://ocw.mit.edu/courses/sloan-school-of-management/15-099-readings-in-optimization-fall-2003","2013-12-22 17:02:24.634322","2013-12-22 17:02:24.634322"
"7312","21F.714 Spanish for Bilingual Students","Massachusetts Institute of Technology","Prof. Douglas Morgenstern","Spanish for Bilingual Students is an intermediate course designed principally for heritage learners, but which includes other students interested  in specific content areas, such as US Latino immigration, identity, ethnicity, education and representation in the media. Linguistic goals include vocabulary acquisition, improvement in writing, and enhancement of formal communicative skills.","Foreign Languages and Literatures","http://ocw.mit.edu/courses/foreign-languages-and-literatures/21f-714-spanish-for-bilingual-students-spring-2003","2013-12-22 17:02:24.652323","2013-12-22 17:02:24.652323"
"7313","Abdul Latif Jameel Poverty Action Lab Executive Training: Evaluating Social Programs","Massachusetts Institute of Technology","Prof. Esther Duflo
                                            Dr. Rachel Glennerster
                                            Prof. Abhijit Banerjee","This five-day program on evaluating social programs will provide a thorough understanding of randomized evaluations and pragmatic step-by-step training for conducting one's own evaluation. While the course focuses on randomized evaluations, many of the topics, such as measuring outcomes and dealing with threats to the validity of an evaluation, are relevant for other methodologies. About the Abdul Latif Jameel Poverty Action Lab J-PAL's goal is to reduce poverty by ensuring that policy is based on scientific evidence. Every day, evidence generated by J-PAL researchers is influencing policy and improving lives, sometimes very directly – for example through the scale-up of effective programs – but also in less direct but equally important ways. To date, our evidence has helped improve the lives of at least 30 million people around the world through the scale-up of highly effective policies and programs. By 2013, J-PAL aims to have positively impacted 100 million lives. Technical Requirements: Special software is required to use some of the files in this course: .do, .dta, .jar, .mp4, and .xls.","Resource Home","http://ocw.mit.edu/resources/res-14-001-abdul-latif-jameel-poverty-action-lab-executive-training-evaluating-social-programs-spring-2009","2013-12-22 17:02:24.687325","2013-12-22 17:02:24.687325"
"7315","Fundamentals of Oncology for Public Health Practitioners","Johns Hopkins Bloomberg School of Public Health","Bruce Trock","Lectures by current practitioners of cancer prevention control in clinical oncology cover the diagnosis, treatment, and prevention/screening measures used for cancers such as lung, breast, prostate, colon/rectal, etc.","Department of Environmental Health Sciences","http://ocw.jhsph.edu/courses/fundonc/","2013-12-22 17:02:24.718326","2013-12-22 17:02:24.718326"
"7316","4.665 Contemporary Architecture and Critical Debate","Massachusetts Institute of Technology","Prof. Arindam Dutta","This class, required of all Master of Architecture students, presents a critical review of works, theories, and polemics in architecture in the aftermath of World War II. The aim is to present a historical understanding of the period, and to develop a meaningful framework to assess contemporary issues in architecture. Special attention will be paid to historiographic questions of how architects construe the terms of their ""present.""","Architecture","http://ocw.mit.edu/courses/architecture/4-665-contemporary-architecture-and-critical-debate-spring-2002","2013-12-22 17:02:24.735327","2013-12-22 17:02:24.735327"
"7317","12.753 Geodynamics Seminar","Massachusetts Institute of Technology","Prof. Karen Bice
                                            Prof. Mark Behn
                                            Prof. Sarah Das","In this year's Geodynamics Seminar, we will explore the depth and breadth of scientific research related to Earth's present and past ice-sheets, glaciers and sea-ice, as well as extraterrestrial planetary ice. 
Invited speakers have been chosen from experts in the current frontiers in ice-related research, including planetary ice, climate records from polar and tropical ice cores, the Snowball Earth, subglacial volcanoes, ice rheology, ice sheet modeling, ice microkinetics, glacial erosion and tectonics, subglacial life and polar remote sensing.
A field trip to Iceland in Summer 2006 will allow us to view some of the island's ice caps and glacial geology, the exposed mid Atlantic Ridge and evidence of ice-volcano interactions.","Earth, Atmospheric, and Planetary Sciences","http://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-753-geodynamics-seminar-spring-2006","2013-12-22 17:02:24.753328","2013-12-22 17:02:24.753328"
"7319","21F.104 Chinese IV (Regular)","Massachusetts Institute of Technology","Prof. Tong Chen","This is the continuing instruction in spoken and written Chinese, with particular emphasis on consolidating basic conversational skills and improving reading confidence and depth.
Upon completion of the course, students should be able to speak Chinese with some fluency on basic conversational topics, achieve a basic level of reading competence within simplified and traditional characters learned plus common compounds, and be able to write short compositions.","Foreign Languages and Literatures","http://ocw.mit.edu/courses/foreign-languages-and-literatures/21f-104-chinese-iv-regular-spring-2004","2013-12-22 17:02:24.787330","2013-12-22 17:02:24.787330"
"7320","2.854 Manufacturing Systems I (SMA 6304)","Massachusetts Institute of Technology","Dr. Stanley Gershwin","As the first in a sequence of four half-term courses, this course will provide the fundamental building blocks for conceptualizing, understanding and optimizing manufacturing systems and supply chains. These building blocks include process analysis, queuing theory, simulation, forecasting, inventory theory and linear programming.
This course was also taught as part of the Singapore-MIT Alliance (SMA) programme as course number SMA 6304 (Manufacturing Systems I: Analytical Methods and Flow Models).","Mechanical Engineering","http://ocw.mit.edu/courses/mechanical-engineering/2-854-manufacturing-systems-i-sma-6304-fall-2004","2013-12-22 17:02:24.801331","2013-12-22 17:02:24.801331"
"7321","SP.401 / WGS.401 Introduction to Women's and Gender Studies","Massachusetts Institute of Technology","Prof. Kim Surkan","<p>This course is designed as an introduction to the interdisciplinary field of Women's and Gender Studies, an academic area of study focused on the ways that sex and gender manifest themselves in social, cultural, and political contexts. The primary goal of this course is to familiarize students with key issues, questions and debates in Women's Studies scholarship, both historical and contemporary. This semester you will become acquainted with many of the critical questions and concepts feminist scholars have developed as tools for thinking about gendered experience. In addition, we will study the interconnections among systems of oppression (such as sexism, racism, classism, ethnocentrism, homophobia/heterosexism, transphobia, ableism and others.) In this course you will learn to ""read"" and analyze gender, exploring how it impacts our understanding of the world.<p>","Special Programs","http://ocw.mit.edu/courses/special-programs/sp-401-introduction-to-women-s-and-gender-studies-spring-2009","2013-12-22 17:02:24.818332","2013-12-22 17:02:24.818332"
"7322","21W.730-1 Expository Writing: Social and Ethical Issues in Print, Photography and Film","Massachusetts Institute of Technology","Prof. Andrea Walsh","This section of Expository Writing provides the opportunity for students- as readers, viewers, writers and speakers - to engage with social and ethical issues that they care deeply about. Through discussing selected documentary and feature films and the writings of such authors as Maya Angelou, Robert Coles, Charles Dickens, Barbara Ehrenreich, Martin Luther King, Jr., Jonathan Kozol, and Alice Walker, we will explore different perspectives on a range of social problems such as poverty, homelessness, and racial and gender inequality. In assigned essays, students will have the opportunity to write about social and ethical issues of their own choice. This course aims to help students to grow significantly in their ability to understand and grapple with arguments, to integrate secondary print and visual sources and to craft well-reasoned and elegant essays. Students will also keep a reader-writer notebook and give at least one oral presentation. In class we will discuss assigned films and readings, explore strategies for successful academic writing, freewrite and critique one another's essays. Satisfies Phase I and CI Writing Requirements.","Writing and Humanistic Studies","http://ocw.mit.edu/courses/writing-and-humanistic-studies/21w-730-1-expository-writing-social-and-ethical-issues-in-print-photography-and-film-fall-2005","2013-12-22 17:02:49.377737","2013-12-22 17:02:49.377737"
"7323","8.334 Statistical Mechanics II:  Statistical Physics of Fields","Massachusetts Institute of Technology","Prof. Mehran Kardar","This is the second term in a two-semester course on statistical mechanics. Basic principles are examined in 8.334, such as the laws of thermodynamics and the concepts of temperature, work, heat, and entropy. Topics from modern statistical mechanics are also explored including the hydrodynamic limit and classical field theories.","Physics","http://ocw.mit.edu/courses/physics/8-334-statistical-mechanics-ii-statistical-physics-of-fields-spring-2008","2013-12-22 17:02:49.393738","2013-12-22 17:02:49.393738"
"7324","Malariology","Johns Hopkins Bloomberg School of Public Health","Clive Shiff, Nirbhay Kumar, and David Sullivan","Presents issues related to malaria as a major public health problem. ","Molecular Microbiology and Immunology","http://ocw.jhsph.edu/courses/malariology/","2013-12-22 17:02:49.408739","2013-12-22 17:02:49.408739"
